############################################################
# Chord csv data source format:
# type,root,shortName,longName,fingerData,fretData
############################################################
# STATIC CHORDS
Movable,A,A7*,A Dominant 7th (alt. voicing),1(-6) 3 1 2 4 1,5 7 5 6 8 5
Movable,A,Am,A Minor,1(-6) 3 4 1 1 1,5 7 7 5 5 5
Movable,C,Cm/Eb,C Minor on Eb (1st inv.),0 4 2 3 1 0,-1 6 5 5 4 -1
Movable,C,C/E,C Major on E (1st inv.),0 3 1(-5) 1 1 0,-1 7 5 5 5 -1
Movable,D,D7***,D Dominant 7th (alt. voicing),0 0 1(-5) 1 1 3,-1 -1 7 7 7 8
Movable,D,D9,D Dominant 9th,0 2 1 4(-6) 4 4,-1 5 4 5 5 5
Movable,D,D7**,D Dominant 7th (alt. voicing),0 3 2 4 1 0,-1 5 4 5 3 -1
Movable,D,Dsus2,D Suspended 2nd,0 1(-6) 3 4 1 1,-1 5 7 7 5 5
Movable,D,D7,D Dominant 7th,0 1(-6) 3 1 4 1,-1 5 7 5 7 5
Movable,D,D6,D Added 6th,0 1 4(-6) 4 4 4,-1 5 7 7 7 7
Movable,D,Dm7*,D Minor 7th (alt. voicing),0 1(-4) 3 1 2 4,-1 5 7 5 6 8
Movable,D,D7sus4*,D7 Suspended 4th (alt. voicing),0 2 3 4 1 0,-1 5 5 5 3 -1
Movable,D,Ddim7,D Diminished 7th,0 2 3 1 4 0,-1 5 6 4 6 -1
Movable,D,D7sus4,D Dominant 7th Suspended 4th,0 1(-6) 3 1 4 1,-1 5 7 5 8 5
Movable,D,Dm7b5,D Half Diminished,0 1(-4) 2 1 3 0,-1 5 6 5 6 -1
Movable,D,Dm(maj7),D Minor (Major 7th),0 1(-6) 4 2 3 1,-1 5 7 6 6 5
Movable,D,D,D Major,0 1(-6) 2 3 4 1,-1 5 7 7 7 5
Movable,D,D5,D Powerchord (no third),0 1 3 4 0 0,-1 5 7 7 -1 -1
Movable,D,Dsus4,D Suspended 4th,0 1(-6) 2 3 4 1,-1 5 7 7 8 5
Movable,D,D7*,D Dominant 7th (alt. voicing),0 1(-4) 2 1 3 4,-1 5 7 5 7 8
Movable,D,Dm7,D Minor 7th,0 1(-6) 3 1 2 1,-1 5 7 5 6 5
Movable,D,Dmaj7,D Major 7th,0 1(-6) 3 2 4 1,-1 5 7 6 7 5
Movable,D,D7#9,The Hendrix Chord,0 2 1 3 4 0,-1 5 4 5 6 -1
Movable,D,D*,D Major (alt. voicing),0 4 3 1(-6) 2 1,-1 5 4 2 3 2
Movable,D,Dmaj7*,D Major 7th (alt. voicing),0 0 1(-5) 1 1 4,-1 -1 7 7 7 9
Movable,D,Dm,D Minor,0 1(-6) 3 4 2 1,-1 5 7 7 6 5
